Maxon: ECX SPEED 6M ,6.00,0.31,3,44200,0.33,0.83,8.72,1.21,0.56,6
Maxon: RE 10 (118396),6.00,0.34,10,12400,1.50,3.01,9.09,4.93,0.76,10
Maxon: RE 10 ( 118397),6.00,0.28,10,9880,1.57,2.61,13.10,6.15,0.75,10
Maxon: RE 10 (256101),6.00,0.34,10,12400,1.50,3.01,9.09,4.94,0.76,10
Maxon: RE 10 (256102),7.20,0.28,10,11900,1.56,3.13,13.10,6.17,0.77,10
Maxon: DCX 10L,6.00,0.44,11,12100,1.92,4.32,6.40,4.61,0.70,10
Maxon: RE13 (118528) (4 diff?),6.00,0.39,15,12700,1.25,3.25,7.37,4.32,0.45,13
Maxon: RE13 (118529) (4 diff?),7.20,0.32,15,12300,1.26,3.16,11.30,5.35,0.44,13
Maxon: EC 14 (339251),6.00,0.79,8,20000,1.80,3.79,15.70,5.06,0.49,13
Maxon: A-max 19 (110094),6.00,0.40,34,6090,3.59,5.89,9.34,10.10,0.71,19
Maxon: A-max 19 (110095),7.20,0.33,34,6130,3.51,5.68,13.80,12.00,0.71,19